x,y,nom_de_la_gare
48,768,"Boulogne, Pont de Saint-Cloud, Rond Point Rhin et Danube"
66,849,Pont de Sèvres
68,749,"Boulogne, Jean Jaurès"
69,69,Nice
85,832,Billancourt
87,731,Porte d'Auteuil
98,299,Grande Arche de la Défense
100,815,Marcel Sembat
115,320,Esplanade de la Défense
116,593,La Muette
116,634,Ranelagh
116,674,Jasmin
116,715,Michel Ange Auteuil
116,715,Michel Ange Auteuil
117,741,Michel Ange Molitor
118,742,Michel Ange Molitor
118,770,Exelmans
118,794,Porte de Saint-Cloud
126,547,Rue de la Pompe
134,742,Chardon Lagâche
135,339,Pont de Neuilly
147,715,Église d'Auteuil
148,441,Porte Dauphine
154,359,Les Sablons
160,732,Mirabeau
168,548,Trocadéro
169,548,Trocadéro
171,505,Boissière
172,601,Passy
178,381,Porte Maillot
181,476,Victor Hugo
192,715,Javel
201,631,Bir-Hakeim
204,474,Kléber
205,817,Place Balard
208,413,Argentine
209,823,Place Balard
212,549,Iéna
220,893,Mairie d'Issy
221,706,Charles Michels
227,657,Dupleix
230,438,"Charles de Gaulle, Étoile"
230,799,Lourmel
231,245,"Pont de Levallois, Bécon"
231,438,"Charles de Gaulle, Étoile"
231,438,"Charles de Gaulle, Étoile"
236,432,"Charles de Gaulle, Étoile"
236,433,"Charles de Gaulle, Étoile"
237,433,"Charles de Gaulle, Étoile"
237,693,Avenue Émile Zola
243,258,Anatole France
246,866,Corentin Celton
252,779,Boucicaut
255,269,Louise Michel
258,530,Alma Marceau
259,410,Ternes
261,636,École Militaire
262,467,George V
262,679,"La Motte Picquet, Grenelle"
262,679,"La Motte Picquet, Grenelle"
262,685,"La Motte Picquet, Grenelle"
262,720,Commerce
263,680,"La Motte Picquet, Grenelle"
263,684,"La Motte Picquet, Grenelle"
263,685,"La Motte Picquet, Grenelle"
263,748,Félix Faure
268,281,Porte de Champerret
270,163,"Gabriel Péri, Asnières-Gennevilliers"
272,841,Porte de Versailles
283,386,Courcelles
287,300,Péreire
287,600,La Tour-Maubourg
291,496,Franklin D. Roosevelt
291,496,Franklin D. Roosevelt
296,816,Convention
298,312,Wagram
303,196,Mairie de Clichy
304,364,Monceau
311,698,Cambronne
312,575,Invalides
312,576,Invalides
313,326,Malesherbes
313,516,"Champs Élysées, Clémenceau"
313,517,"Champs Élysées, Clémenceau"
314,616,Varenne
322,793,Vaugirard
324,464,Saint-Philippe du Roule
326,707,Ségur
327,530,Concorde
328,342,Villiers
328,532,Concorde
329,342,Villiers
329,533,Concorde
329,663,Saint-Francois Xavier
330,534,Concorde
332,501,Madeleine
332,503,Madeleine
333,535,Concorde
334,498,Madeleine
334,506,Madeleine
334,537,Concorde
334,539,Concorde
335,587,Assemblée Nationale
337,725,Sèvres Lecourbe
341,234,Porte de Clichy
343,444,Miromesnil
343,444,Miromesnil
345,768,Volontaires
346,448,Miromesnil
346,449,Miromesnil
351,934,Châtillon-Montrouge
352,875,Malakoff-Plateau de Vanves
352,903,Malakoff-Rue Étienne Dolet
353,316,Rome
353,367,Europe
358,609,Solférino
359,428,Saint-Augustin
360,698,Duroc
362,255,Brochant
362,698,Duroc
366,391,Saint-Lazare
367,391,Saint-Lazare
370,843,Porte de Vanves
375,740,Pasteur
375,740,Pasteur
376,548,Tuileries
378,406,Saint-Lazare
381,407,Saint-Lazare
381,408,Saint-Lazare
382,632,Rue du Bac
382,676,Vaneau
383,283,La Fourche
383,406,Saint-Lazare
384,223,Porte de Saint-Ouen
384,253,Guy Môquet
385,249,Guy Môquet
385,309,Place de Clichy
385,310,Place de Clichy
385,729,Falguière
386,346,Liège
387,406,Saint-Lazare
388,407,Saint-Lazare
390,407,Saint-Lazare
392,407,Saint-Lazare
393,820,Plaisance
397,413,Saint-Lazare
397,443,Havre Caumartin
398,413,Saint-Lazare
398,443,Havre Caumartin
403,654,Sèvres Babylone
404,653,Sèvres Babylone
408,193,Garibaldi
416,797,Pernety
417,462,Opéra
417,463,Opéra
417,504,Pyramides
417,549,"Palais Royal, Musée du Louvre"
418,461,Opéra
418,548,"Palais Royal, Musée du Louvre"
421,465,Opéra
422,467,Opéra
422,755,Montparnasse Bienvenue
423,740,Montparnasse Bienvenue
423,754,Montparnasse Bienvenue
424,385,Trinité d'Estienne d'Orves
424,746,Montparnasse Bienvenue
424,755,Montparnasse Bienvenue
425,739,Montparnasse Bienvenue
425,739,Montparnasse Bienvenue
425,739,Montparnasse Bienvenue
427,677,Rennes
428,736,Montparnasse Bienvenue
429,735,Montparnasse Bienvenue
429,773,Gaité
430,733,Montparnasse Bienvenue
430,736,Montparnasse Bienvenue
433,169,Mairie de Saint-Ouen
433,731,Montparnasse Bienvenue
434,663,Saint-Sulpice
435,310,Blanche
435,698,Saint-Placide
435,729,Montparnasse Bienvenue
435,730,Montparnasse Bienvenue
435,730,Montparnasse Bienvenue
442,443,"Chaussée d'Antin, La Fayette"
442,489,Quatre Septembre
443,442,"Chaussée d'Antin, La Fayette"
446,740,Edgar Quinet
448,637,Saint-Germain-des-Prés
450,710,Notre-Dame-des-Champs
453,549,"Louvre, Rivoli"
456,643,Mabillon
458,144,Carrefour Pleyel
465,734,Vavin
471,443,Richelieu Drouot
471,444,Richelieu Drouot
472,447,Richelieu Drouot
472,449,Richelieu Drouot
473,854,Porte d'Orléans
478,385,Notre Dame de Lorette
478,500,Bourse
480,550,Pont-Neuf
485,400,Le Peletier
486,264,Lamarck Caulaincourt
488,289,Abbesses
488,311,Pigalle
488,348,Saint-Georges
488,642,Odéon
489,267,Lamarck Caulaincourt
489,309,Pigalle
489,637,Odéon
489,641,Odéon
490,748,Raspail
490,749,Raspail
496,620,Saint-Michel
497,833,Alésia
504,380,Cadet
505,613,Saint-Michel
505,798,Mouton-Duvernet
507,767,Denfert Rochereau
508,442,"Rue Montmartre, Grands Boulevards"
508,448,"Rue Montmartre, Grands Boulevards"
508,769,Denfert Rochereau
509,443,"Rue Montmartre, Grands Boulevards"
509,448,"Rue Montmartre, Grands Boulevards"
511,582,Cité
512,773,Denfert Rochereau
514,262,Jules Joffrin
515,222,Porte de Clignancourt
515,500,Sentier
516,641,"Cluny, La Sorbonne"
517,131,Saint-Denis-Porte de Paris
524,546,Châtelet
526,552,Châtelet
527,308,Anvers
527,511,Étienne Marcel
527,531,Les Halles
527,544,Châtelet
527,545,Châtelet
527,548,Châtelet
527,557,Châtelet
527,787,Saint-Jacques
528,543,Châtelet
528,551,Châtelet
528,554,Châtelet
528,558,Châtelet
528,559,Châtelet
530,237,Simplon
530,539,Châtelet
535,537,Châtelet
538,537,Châtelet
538,538,Châtelet
540,537,Châtelet
541,658,Maubert Mutualité
544,282,Château Rouge
545,263,Marcadet Poissonniers
546,263,Marcadet Poissonniers
553,373,Poissonnière
554,803,Glacière
558,442,Bonne Nouvelle
559,444,Bonne Nouvelle
559,447,Bonne Nouvelle
560,448,Bonne Nouvelle
560,678,Cardinal Lemoine
564,503,Réaumur Sébastopol
565,502,Réaumur Sébastopol
569,549,Hôtel de Ville
569,550,Hôtel de Ville
569,713,Place Monge
570,742,Censier Daubenton
574,311,Barbès Rochechouart
574,313,Barbès Rochechouart
581,593,Pont-Marie
582,115,Basilique de Saint-Denis
585,802,Corvisart
586,443,Strasbourg Saint-Denis
586,450,Strasbourg Saint-Denis
587,444,Strasbourg Saint-Denis
587,444,Strasbourg Saint-Denis
587,447,Strasbourg Saint-Denis
588,769,Les Gobelins
589,686,Jussieu
589,692,Jussieu
589,693,Jussieu
591,686,Jussieu
595,523,Rambuteau
598,400,Château d'Eau
603,584,"Saint-Paul, Le Marais"
603,616,Sully Morland
604,866,Le Kremlin-Bicêtre
606,333,Gare du Nord
606,822,Tolbiac
606,843,Maison Blanche
606,913,"Villejuif, P. Vaillant Couturier"
607,801,Place d'Italie
607,801,Place d'Italie
607,892,"Villejuif, Léo Lagrange"
607,933,"Villejuif, Louis Aragon"
608,871,Le Kremlin-Bicêtre
610,802,Place d'Italie
611,88,Saint-Denis-Université
612,333,Gare du Nord
612,333,Gare du Nord
613,803,Place d'Itali
614,801,Place d'Italie
620,333,Gare du Nord
621,333,Gare du Nord
621,491,Arts et Métiers
622,493,Arts et Métiers
623,372,Gare de l'Est
624,495,Arts et Métiers
625,310,La Chapelle
625,372,Gare de l'Est
627,333,Gare du Nord
627,373,Gare de l'Est
628,225,Porte de la Chapelle
628,373,Gare de l'Est
629,251,Marx Dormoy
629,332,Gare du Nord
633,763,Campo-Formio
634,859,Porte d'Italie
635,338,Gare du Nord
636,337,Gare du Nord
638,421,Jacques Bonsergent
639,473,Temple
644,508,Filles du Calvaire
644,535,Saint-Sébastien-Froissart
644,563,Chemin Vert
645,802,Nationale
646,720,Gare d'Austerlitz
648,589,Bastille
648,714,Gare d'Austerlitz
648,717,Gare d'Austerlitz
649,595,Bastille
649,595,Bastille
649,667,Quai de la Rapée
650,595,Bastille
650,600,Bastille
650,743,Saint-Marcel
651,464,République
651,469,République
652,465,République
652,466,République
652,467,République
654,464,République
658,460,République
659,359,Château Landon
659,459,République
659,461,République
659,461,République
659,461,République
664,454,République
664,455,République
664,455,République
664,456,République
665,455,République
669,858,Porte de Choisy
672,562,Bréguet-Sabin
673,615,Ledru Rollin
676,679,Gare de Lyon
677,481,Oberkampf
677,481,Oberkampf
677,802,Chevaleret
678,340,Louis Blanc
678,340,Louis Blanc
679,673,Gare de Lyon
682,345,Louis Blanc
682,347,Louis Blanc
683,318,Stalingrad
684,314,Stalingrad
684,314,Stalingrad
684,321,Stalingrad
684,321,Stalingrad
686,432,Goncourt
687,667,Gare de Lyon
693,286,Riquet
694,538,Richard Lenoir
703,859,Porte d'Ivry
707,337,Jaurès
708,272,Crimée
710,334,Jaurès
710,335,Jaurès
711,332,Jaurès
711,405,Belleville
711,788,Quai de la Gare
712,369,Colonel Fabien
713,407,Belleville
719,633,Faidherbe-Chaligny
723,256,Corentin-Cariou
724,533,Saint-Ambroise
725,872,Pierre Curie
731,313,Laumière
731,354,Bolivar
735,435,Couronnes
737,481,Parmentier
740,240,Porte de la Villette
741,656,Reuilly Diderot
742,656,Reuilly Diderot
742,888,Mairie d'Ivry
743,551,Voltaire
744,811,Bibliothèque François Mitterand
746,753,Bercy
747,391,Pyrénées
748,805,Bibliothèque François Mitterand
758,295,Ourcq
759,496,Rue Saint-Maur
762,462,Ménilmontant
762,571,Charonne
765,788,Cour Saint-Émilion
766,212,"Aubervilliers-Pantin, Quatre Chemins"
766,681,Montgallet
767,731,Dugommier
770,359,Buttes Chaumont
780,588,Rue des Boulets
786,389,Jourdain
788,495,Père Lachaise
788,496,Père Lachaise
788,522,Philippe-Auguste
788,556,Alexandre Dumas
789,192,Fort d'Aubervilliers
791,158,"La Courneuve, 8 Mai 1945"
791,360,Botzaris
791,593,Avron
791,706,Daumesnil
792,707,Daumesnil
794,295,Porte de Pantin
798,627,Nation
798,628,Nation
799,627,Nation
799,764,Porte de Charenton
801,622,Nation
801,626,Nation
803,622,Nation
806,620,Nation
807,619,Nation
808,619,Nation
808,722,Michel Bizot
810,616,Nation
812,614,Nation
812,614,Nation
813,687,Bel Air
818,795,Liberté
819,383,Place des Fêtes
820,384,Place des Fêtes
820,390,Place des Fêtes
820,743,Porte Dorée
821,334,Danube
821,388,Place des Fêtes
830,493,Gambetta
830,495,Gambetta
831,667,Picpus
832,295,Hoche
834,602,Buzenval
841,818,Charenton-Écoles
845,354,Pré-Saint-Gervais
845,634,Porte de Vincennes
849,588,Maraîchers
855,390,Télégraphe
856,458,Pelleport
858,281,Église de Pantin
864,574,Porte de Montreuil
865,841,École Vétérinaire de Maisons-Alfort
872,496,Porte de Bagnolet
876,652,"Saint-Mandé, Tourelle"
877,262,"Bobigny-Pantin, Raymond Queneau"
878,559,Robespierre
879,382,Porte des Lilas
879,387,Porte des Lilas
880,387,Porte des Lilas
881,424,Saint-Fargeau
882,860,"Maisons-Alfort, Stade"
882,915,Créteil-Université
883,878,Maisons-Alfort les Juilliottes
883,897,"Créteil-l'Echat, Hôpital Henri Mondor"
883,934,Créteil-Préfecture
892,545,Croix de Chavaux
892,669,Bérault
902,237,"Bobigny, Pablo Picasso"
904,496,Galliéni
906,358,Mairie des Lilas
906,530,Mairie de Montreuil
907,682,Château de Vincennes
